id;question;answer;source_doc;source_loc;tags;difficulty
263;Üst komisyon (Akademik Teþvik Düzenleme, Denetleme ve Ýtiraz Komisyonu) üyeleri senato tarafýndan nasýl seçilmektedir?;"Üst komisyon üyeleri, her bir doçentlik temel alanýndan en az bir kiþi olmak üzere rektörün her bir üyelik için önereceði üç aday arasýndan üniversite senatosu tarafýndan seçilir; komisyon baþkanlýðýný rektörün görevlendirdiði bir rektör yardýmcýsý yürütür; komisyon, baþkan hariç en az dört üyeden oluþmak þartýyla iki yýl süreyle görev yapmak üzere seçilir; süresi biten üyelerin yeniden seçilmesi mümkündür; üyeliðin boþalmasý halinde ise kalan süreyi tamamlamak üzere ayný usulle yeni üye atamasý gerçekleþtirilir.";[Yönetmelik];Madde 4(1);üst komisyon|seçim|senato|rektör yardýmcýsý;med
264;Birim akademik teþvik baþvuru ve inceleme komisyonunun kararlarýnda oylarýn eþitliði durumunda hangi kural iþletilir?;"Birim akademik teþvik baþvuru ve inceleme komisyonu, baþkan dahil üye tamsayýsýnýn salt çoðunluðu ile toplanýr ve katýlanlarýn salt çoðunluðu ile karar alýr; oylarýn eþit daðýlmasý durumunda komisyon baþkanýnýn oyu yönünde karar alýnmýþ sayýlýr; komisyon üyelerinin oylama sýrasýnda çekimser oy kullanmalarý yasaktýr; bu kural kararlarýn netleþmesini ve sürecin aksamamasýný saðlamak amacýyla getirilmiþtir; komisyonun tarafsýzlýðý ve liyakati esas almasý, birim yönetim kurullarýnýn sorumluluðunda olup seçimler bu doðrultuda yapýlýr.";[Yönetmelik];Madde 5(2);birim komisyonu|karar yeter sayýsý|oy eþitliði|baþkan;med
265;Akademik teþvik baþvurusu sýrasýnda öðretim elemanlarýnýn kanýtlayýcý belgeleri teslim etme yöntemi nasýldýr?;"Öðretim elemanlarý akademik teþvik baþvurularýný kadrolarýnýn bulunduðu birimlere yaparken YÖKSÝS ve FUATS sistem çýktýlarýný ýslak imzalý olarak teslim etmelidir; ancak faaliyetlere dair tüm örnek, kanýt ve belgeler sadece elektronik ortamda FUATS (https://akademiktesvik.firat.edu.tr) üzerinden sunulacaktýr; fiziksel dosya veya kanýt teslimi yapýlmayacak, inceleme süreci sistem üzerinden yürütülecektir; belgelerin sisteme yüklenmesi sýrasýnda format ve büyüklük kýsýtlamalarýna dikkat edilmesi araþtýrmacýnýn sorumluluðundadýr; eksik veya okunmayan dijital kanýtlar baþvurunun reddine yol açabilir.";[Takvim] | [Baþvuru Rehberi];02-11 Ocak 2026 / Madde 6(1);baþvuru|kanýt|belge teslimi|elektronik;easy
266;Kurum deðiþikliði yapan öðretim elemanlarýnýn akademik faaliyetlerinin deðerlendirilmesi hangi üniversite tarafýndan gerçekleþtirilir?;"Yükseköðretim kurumu deðiþikliði durumunda, araþtýrmacýnýn farklý kurumlarda gerçekleþtirdiði tüm akademik faaliyetlerin deðerlendirilmesi öðretim elemanýnýn þu an kadrosunun bulunduðu güncel yükseköðretim kurumunda yapýlýr; YÖKSÝS çýktýsýnda her bir faaliyetin hangi kurum bünyesinde gerçekleþtirildiði açýkça gösterilmelidir; ayrýca önceki kurumda yapýlan faaliyetlerin doðruluðundan araþtýrmacý bizzat sorumludur; bu durumda Kurum Deðiþikliði Beyan Formunun doldurulmasý ve imzalanmasý zorunludur; deðerlendirme süreci mevcut üniversitenin ilgili birim ve üst komisyonu tarafýndan yürütülür.";[Yönetmelik] | [Baþvuru Rehberi];Madde 6(2) / Sayfa 8;kurum deðiþikliði|yöksis|deðerlendirme|kadro;med
267;Birim akademik teþvik komisyonunun hazýrladýðý deðerlendirme raporlarýnda puan deðiþikliði yapýlan faaliyetler için hangi zorunluluk vardýr?;"Birim akademik teþvik baþvuru ve inceleme komisyonu tarafýndan hazýrlanan deðerlendirme raporunda reddedilen veya beyan edilen puan deðerinde deðiþiklik yapýlan akademik faaliyetlerle ilgili olarak mutlaka açýklama yapýlmasý zorunludur; bu açýklamalar yönetmelik maddelerine ve kanýt yetersizliðine dayandýrýlmalýdýr; raporlar ilgili dekan veya müdür tarafýndan onaylanarak ilan edilen takvime uygun þekilde üst komisyona iletilir; gerekçesiz yapýlan puan düþürmeleri itiraz sürecinde araþtýrmacý lehine deðerlendirilebilir; her bir faaliyet satýrý için ayrý deðerlendirme notu düþülmesi esastýr.";[Yönetmelik];Madde 6(4);deðerlendirme raporu|gerekçe|puan deðiþikliði|komisyon;hard
268;Vakýf üniversitelerinden devlet üniversitelerine geçen öðretim elemanlarýnýn teþvik baþvurusu yaparken dikkat etmesi gereken kýsýtlama nedir?;"Vakýf üniversitelerinden devlet üniversiteleri kadrolarýna geçen öðretim elemanlarý, sadece devlet üniversitelerinde görev yaptýklarý süre içerisinde gerçekleþtirdikleri akademik faaliyetleri için teþvik baþvurusunda bulunabilirler; vakýf üniversitesi bünyesinde üretilen yayýnlar, projeler veya alýnan ödüller akademik teþvik puanlamasýna dahil edilmez; bu kuralýn denetimi için YÖKSÝS çýktýsýnda faaliyet yerinin belirtilmesi ve kurum deðiþikliði beyanýnýn yapýlmasý þarttýr; teþvik sistemi sadece devlet kaynaklý bilimsel üretimi desteklemeyi amaçladýðý için bu kýsýtlama titizlikle uygulanmaktadýr.";[Baþvuru Rehberi] | [Yönetmelik];Sayfa 7 / Madde 6(7);vakýf üniversitesi|kýsýtlama|devlet üniversitesi|baþvuru;med
269;Döner sermaye üzerinden yürütülen projelerin teþvik kapsamýnda deðerlendirilebilmesi için bütçe ile ilgili temel þart nedir?;"Döner sermaye üzerinden yapýlan dýþ kaynaklý (yurt içi veya yurt dýþý) ve toplam süresi dokuz aydan fazla olan projelerin deðerlendirilebilmesi için projenin Ar-Ge niteliði taþýmasý ve projenin maddi desteðinin üniversiteye aktarýlmýþ olmasý þarttýr; üniversite hesaplarýna giriþi yapýlmayan veya þahsi bütçelerle yürütülen projeler puanlamaya dahil edilmez; ayrýca projenin baþarýyla sonuçlanmýþ olmasý ve sonuç raporunun onaylanmýþ olmasý belgelenmelidir; süresi dokuz aydan az olan veya akademik nitelik taþýmayan döner sermaye iþleri kapsam dýþýdýr.";[Baþvuru Rehberi] | [Yönetmelik];Madde 11 / Madde 7(2);döner sermaye|proje|maddi destek|Ar-Ge;hard
270;Akademik teþvik kapsamýnda 'Araþtýrma' faaliyeti olarak deðerlendirilmeyen sistematik çalýþma türleri hangileridir?;"Araþtýrma faaliyetinin deðerlendirilmesinde; eylem planý, fizibilite raporu ve envanter çalýþmasý niteliðindeki çalýþmalar kesinlikle dikkate alýnmaz; ayrýca dört aydan az süren araþtýrmalar da puanlama kapsamý dýþýnda tutulmuþtur; araþtýrmanýn puan alabilmesi için bilim, teknoloji ve sanata katký saðlayýcý özellikte olmasý ve üniversite yönetim kurulu izniyle kurum dýþýnda tam zamanlý yürütülmesi gerekir; bir nolu proje faaliyet alanýnda deðerlendirilmeyen faaliyetlerin (örneðin BAP projeleri) bu kategori altýnda sunulmasý da yasaktýr; her bir araþtýrma için onaylý sonuç raporu sunulmalýdýr.";[Yönetmelik] | [Baþvuru Rehberi];Madde 16 / Madde 7(3);araþtýrma|kapsam dýþý|fizibilite|envanter;med
271;Dergilerde yayýmlanan makalelerin deðerlendirilmesinde künye bilgileri açýsýndan aranan asgari standart nedir?;"Dergilerde yayýmlanan makalelerin puanlanabilmesi için ilgili derginin basýlmýþ olmasý veya elektronik ortamda cilt, sayfa ve yýl bilgileri ile künyesi açýk bir þekilde sunulmasý esastýr; kabul almýþ ancak henüz yayýmlanmamýþ veya künye bilgileri oluþmamýþ yayýnlar teþvik kapsamý dýþýndadýr; yayýnlarýn mutlaka 2025 takvim yýlý içerisinde yayýmlanmýþ olmasý þarttýr; makalenin türüne göre (özgün, derleme, kýsa makale) uygun kategoride beyan edilmesi ve derginin ISSN numarasýnýn bulunmasý zorunludur; çevrimiçi erken eriþim (early view) aþamasýndaki çalýþmalar yýlý belirsiz ise kabul edilmez.";[Yönetmelik] | [Baþvuru Rehberi];Madde 7(4) / Madde 21;dergi|künye|yayýn yýlý|ISSN;easy
272;Dergilerde gerçekleþtirilen editörlük faaliyetlerinde birden fazla dergide görev yapýlmasý puanlamayý nasýl etkiler?;"Dergilerde editörlük ve editör kurulu üyeliklerinin deðerlendirilmesinde, yýllýk yayýnlanan dergi sayýsýna veya farklý dergilerde görev alýnmasýna bakýlmaksýzýn sadece bir editörlük görevi dikkate alýnýr; araþtýrmacý birden fazla dergide editör olsa dahi yalnýzca bir tanesi için puan talep edebilir; çok editörlü dergilerde sadece baþ editör olan öðretim elemaný teþvik kapsamýnda deðerlendirilir; yardýmcý editörlükler veya alan editörlükleri bu kapsamda puanlanmaz; editör kurulu üyelikleri ise yönetmelik deðiþikliði ile tamamen teþvik kapsamýndan çýkartýlmýþtýr.";[Yönetmelik] | [Baþvuru Rehberi];Madde 7(4) / Madde 25;editörlük|baþ editör|kýsýtlama|puanlama;med
273;Hangi tür patentler akademik teþvik ödeneði yönetmeliði kapsamýnda 'kapsam dýþý' olarak belirtilmiþtir?;"Ulusal mevzuat kapsamýnda baþvurusu yapýlan ancak inceleme raporu sonucunda deðil de 'incelemesiz' olarak verilen ulusal patentler akademik teþvik kapsamý dýþýndadýr; puanlama için sadece Türk Patent ve Marka Kurumu tarafýndan inceleme raporu sonucunda verilen patentler kabul edilir; ayrýca tescil edilmemiþ, sadece baþvuru aþamasýnda kalan patent baþvurularý da deðerlendirmeye alýnmaz; patentlerin 2025 yýlýnda tescil edilmiþ olmasý ve tescil belgesinin nüshasýnýn FUATS'a yüklenmesi þarttýr; birden fazla ülkede tescillenen ayný içerikli patentler için mükerrer baþvuru yapýlamaz.";[Yönetmelik] | [Baþvuru Rehberi];Madde 7(7) / Madde 34;patent|incelemesiz|kapsam dýþý|tescil;hard
274;Atýf faaliyetlerinin puanlanmasýnda 'self-citation' (öz-atýf) yasaðýna dair kural tam olarak nedir?;"Akademik teþvik sisteminde, baþvuru sahibinin kendi yayýnlarýna veya eserlerine bizzat yaptýðý atýflar kesinlikle kapsam dýþýdýr; sadece 'baþka araþtýrmacýlar' tarafýndan yayýmlanmýþ çalýþmalardaki atýflar dikkate alýnýr; bu denetim atýf yapan ve atýf yapýlan eserin yazar listeleri karþýlaþtýrýlarak yapýlýr; araþtýrmacýnýn ismi atýf yapan eserin yazarlarý arasýnda yer alýyorsa o atýf puanlanmaz; atýf puanlamasýnda kiþi sayýsý dikkate alýnmaz ve her bir baþvuru sahibi için ayrý puanlama yapýlýr; atýf yapan eserin de yönetmelikçe geçerli bir yayýn kategorisinde olmasý þarttýr.";[Yönetmelik] | [Baþvuru Rehberi];Madde 7(8) / Madde 37;atýf|self-citation|baþka araþtýrmacý|kýsýtlama;med
275;Tebliðlerin sunulduðu etkinliðin uluslararasý nitelik taþýmasý için katýlýmcý ülkelerle ilgili aranan asgari þart nedir?;"Bir tebliðin sunulduðu yurt içi veya yurt dýþý etkinliðin uluslararasý sayýlabilmesi için Türkiye dýþýnda en az beþ farklý ülkeden sözlü teblið sunan konuþmacýnýn katýlým saðlamasý zorunludur; sadece beþ yabancý katýlýmcý olmasý yeterli deðildir, katýlýmcýlarýn en az beþ ayrý ülkeyi temsil etmesi þarttýr; ayrýca etkinlikte sunulan toplam tebliðlerin yarýdan fazlasýnýn (%51 ve üzeri) Türkiye dýþýndan katýlan araþtýrmacýlar tarafýndan sunulmuþ olmasý esastýr; bu kriterlerin saðlandýðý, ödemeye esas teþkil etmek üzere üniversite yönetim kurulu kararý ile de onaylanmalýdýr.";[Yönetmelik] | [Baþvuru Rehberi];Madde 7(9) / Madde 40;teblið|uluslararasý|ülke sayýsý|katýlýmcý;hard
276;Ödül kategorisinde yer alan bilim ödüllerinin deðerlendirilebilmesi için ödülü veren kuruluþun geçmiþi ile ilgili hangi kriter aranýr?;"Ödüllerin puanlanabilmesi için, ödülün sürekli olarak verilmesi ve daha önce en az beþ kez verilmiþ olmasý þarttýr; ayrýca ödülün ilgili kurum veya kuruluþun resmi internet sayfasýndan duyurulmuþ olmasý ve akademik aðýrlýklý bir deðerlendirme jürisi veya seçici kurulu tarafýndan verilmiþ olmasý gerekir; tebliðler için verilen ödüller, hakemlik ödülleri, mansiyonlar ve araþtýrmacýnýn kendi üniversitesinden aldýðý ödüller hiçbir þekilde puanlanmaz; ayný çalýþma nedeniyle alýnan farklý ödüllerden sadece bir tanesi için baþvuru yapýlabilir.";[Yönetmelik] | [Baþvuru Rehberi];Madde 7(10) / Madde 44;ödül|süreklilik|beþ kez|akademik jüri;med
277;Akademik teþvik toplam puaný hesaplanýrken her bir faaliyet türünün katkýsý için belirlenen aðýrlýk sýnýrý nedir?;"Yönetmeliðin 1. maddesi uyarýnca; akademik teþvik toplam puanýnýn hesaplanmasýnda her bir akademik faaliyet türünün (proje, yayýn, atýf vb.) aðýrlýðý toplam puanýn %30’unu geçemez; toplam akademik teþvik puaný ise hiçbir durumda 100 puaný aþamaz; örneðin yayýn kategorisinden 50 puan toplayan bir araþtýrmacýnýn bu puaný 30 olarak sabitlenir; bu kural araþtýrmacýlarý akademik faaliyetlerini tek bir alana yýðmak yerine farklý alanlarda (proje, patent, atýf vb.) üretim yapmaya teþvik etmek amacýyla getirilmiþtir; nihai puan otuzun altýnda kalanlara ödeme yapýlmaz.";[Yönetmelik];Madde 1(1) / Madde 8(3);aðýrlýk|yüzde otuz|üst sýnýr|puanlama;hard
278;Dört kiþilik çok isimli bir yayýn için 'k' katsayýsý deðeri kaç olarak belirlenmiþtir?;"Yönetmelikte yer alan Tablo 1'e göre; faaliyetteki kiþi sayýsýnýn dört olmasý durumunda her bir araþtýrmacý için uygulanacak (k) katsayýsý 0,45'tir; bu katsayý faaliyetin türüne göre belirlenen temel puan ile çarpýlarak bireysel puanýn hesaplanmasýnda kullanýlýr; kiþi sayýsý beþ olduðunda katsayý 1/5, altý olduðunda 1/6 oranýna düþer; yedi veya daha fazla katýlýmcý bulunmasý durumunda katsayý doðrudan '1 bölü kiþi sayýsý' olarak hesaplanýr; tek yazarlý eserlerde bu katsayý tam deðer olan 1'dir.";[Yönetmelik];Madde 8(4) / Tablo 1;k katsayýsý|kiþi sayýsý|puanlama|paylaþým;easy
279;Projelerde görev alan araþtýrmacý veya bursiyer öðretim elemanlarý için 'r' katsayýsý deðeri kaçtýr?;"Akademik teþvik kapsamýnda deðerlendirilen projelerde araþtýrmacýnýn rolüne göre (r) katsayýsý uygulanýr; projenin yürütücüsü olan öðretim elemaný için r=1 katsayýsý kullanýlýrken; projede araþtýrmacý veya bursiyer olarak görev yapan öðretim elemanlarý için r=0,5 katsayýsý uygulanýr; bu katsayý projenin türüne göre belirlenen oran (örneðin TÜBÝTAK 1001 için 80) ile çarpýlarak faaliyet puanýna ulaþýlýr; projenin 2025 yýlýnda baþarýyla sonuçlanmýþ ve raporunun onaylanmýþ olmasý tüm roller için zorunlu ön þarttýr.";[Yönetmelik];Madde 8(5) / Tablo 2;r katsayýsý|proje|araþtýrmacý|bursiyer;med
280;SCI-Expanded kapsamýndaki dergilerde yayýmlanan makaleler için 'p' katsayýsý hangi veriye göre belirlenir?;"p katsayýsý, makalenin yayýmlandýðý yýl için derginin ISI Web of Science tarafýndan yayýmlanan en son Çeyreklik (Quartile) sýnýflandýrmasýna göre belirlenir; Tablo 3'e göre Q1 grubu dergiler için p=1, Q2 için p=0,8, Q3 için p=0,5 ve Q4 grubu dergiler için p=0,25 katsayýsý uygulanýr; AHCI kapsamýndaki dergiler için katsayý sabit 0,5'tir; eðer bir derginin Q deðeri henüz belirlenmemiþse en alt katsayý olan 0,25 üzerinden iþlem yapýlýr; bu katsayýlar yayýn kategorisindeki temel puanlar ile çarpýlarak nihai oran bulunur.";[Yönetmelik];Madde 8(6) / Tablo 3;p katsayý|quartile|Q deðeri|wos;hard
281;Özel bir paylaþým oraný bulunmayan sanatsal karma etkinliklerde puanlama kiþi sayýsýna bölünür mü?;"Normal þartlarda oran/kiþi sayýsý kuralý uygulanýrken; sergi faaliyet türündeki karma etkinlikler ile uluslararasý boyutta performansa dayalý yayýmlanmýþ karma ses ve/veya görüntü kayýtlarý bu kuraldan muaftýr; bu tür faaliyetlerde katýlýmcý sayýsýna bakýlmaksýzýn her bir öðretim elemanýna tam puan verilir; bu istisna dýþýnda kalan tüm faaliyetlerde (makale, teblið, patent vb.) yazar veya katýlýmcý sayýsýna göre belirlenen (k) katsayýsý üzerinden puan paylaþýmý yapýlmasý zorunludur; bu durum sanatsal ortak üretimleri desteklemeyi hedefler.";[Yönetmelik];Madde 8(7);karma etkinlik|istisna|kiþi sayýsý|ses kaydý;hard
282;Akademik teþvik ödeneði baþvurusu sýrasýnda yapýlan yanlýþ beyanlarýn tespit edilmesi durumunda hangi yaptýrýmlar uygulanýr?;"Ödeme yapýldýktan sonra dahi, faaliyetlerin gerçeðe aykýrý olduðu veya yönetmelik kapsamýna girmediði anlaþýlan durumlarda yapýlan ödemeler kanuni faiziyle birlikte geri alýnýr; gerçeðe aykýrý, yanlýþ veya yanýltýcý bildirimde bulunanlar hakkýnda komisyonun bildirimi ile idari ve cezai inceleme baþlatýlýr; inceleme sonucuna göre cezai müeyyidelerin uygulanmasý gerekirse genel hükümler çerçevesinde iþlem tesis edilir; bu nedenle araþtýrmacýlarýn beyan ettikleri bilgilerin ve sisteme yükledikleri belgelerin doðruluðundan þahsen sorumlu olduklarý unutulmamalýdýr.";[Yönetmelik];Madde 10(5);yanlýþ beyan|geri alma|kanuni faiz|cezai müeyyide;med
283;Akademik teþvik ödemeleri her yýl hangi tarihte baþlar ve ne kadar süreyle devam eder?;"Hesaplanan akademik teþvik puaný üzerinden ödemeler, faaliyet yýlýný takip eden yýlýn Þubat ayýnýn on beþinden itibaren on iki ay süreyle her ayýn on beþinde gerçekleþtirilir; örneðin 2025 faaliyetleri için ödemeler 15 Þubat 2026'da baþlar ve Ocak 2027 sonuna kadar devam eder; ödemelerin yapýlabilmesi için öðretim elemanýnýn 2914 sayýlý Kanun uyarýnca aylýk alýyor olmasý þarttýr; teþvik puaný en az otuz olanlara ödeme tahakkuk ettirilir; kurum deðiþtirenlerin ödemesi yeni kurumlarýnca ayný takvim üzerinden sürdürülür.";[Yönetmelik];Madde 10(2) ve 10(3);ödeme tarihi|on iki ay|þubat|aylýk;easy
284;Üst komisyon tarafýndan ilan edilen teþvik sonuçlarýna karþý yapýlacak itirazlarýn teslim yöntemi nasýldýr?;"Akademik Teþvik Düzenleme, Denetleme ve Ýtiraz Komisyonu tarafýndan 25 Ocak 2026 tarihinde ilan edilen sonuçlara karþý yapýlacak itirazlar 26-30 Ocak 2026 tarihleri arasýnda kabul edilir; itiraz dilekçelerinin mutlaka yazýlý olarak hazýrlanmasý ve Rektör Yardýmcýlýðý Makamýna doðrudan elden teslim edilmesi zorunludur; posta, kargo veya e-posta yoluyla yapýlan itirazlar deðerlendirmeye alýnmaz; komisyon itirazlarý beþ iþ günü içerisinde inceleyerek nihai karara baðlar; itiraz sonucunda verilen kararlar kesin nitelik taþýr ve harcama birimlerine bu listeler gönderilir.";[Takvim] | [Baþvuru Rehberi];26-30 Ocak 2026 / Madde 6(6);itiraz|dilekçe|elden teslim|takvim;med
285;Akademik teþvik baþvurularýnda YÖKSÝS ve FUATS sistem çýktýlarýnýn imzalanmasý ile ilgili kural nedir?;"Teþvik ödeneði baþvurusunda bulunacak araþtýrmacýlarýn hem YÖKSÝS veri tabanýndan aldýklarý çýktýnýn hem de FUATS sisteminden aldýklarý baþvuru çýktýsýnýn her sayfasýný ýslak imzalý olarak sunmalarý zorunludur; sadece son sayfanýn imzalanmasý yeterli kabul edilmez; her sayfanýn imzalanmasý, girilen tüm akademik verilerin doðruluðunun araþtýrmacý tarafýndan resmen taahhüt edildiði anlamýna gelir; imzalý bu çýktýlar birim komisyonlarýna teslim edilirken diðer kanýtlayýcý dökümanlar sadece elektronik ortamda sisteme yüklenmelidir; imzasýz çýktýlarla yapýlan baþvurular geçersiz sayýlýr.";[Baþvuru Rehberi];Madde 8 / Sayfa 8;imza|yöksis|fuats|baþvuru;easy
286;Bildirilerden oluþan kitaplar akademik teþvik kapsamýnda 'Yayýn' kategorisinde deðerlendirilebilir mi?;"Hayýr, Yönetmeliðin 7. maddesinin 4. fýkrasý ve Baþvuru Rehberi uyarýnca bir kongrede sunulan bildirilerden oluþan kitaplar yayýn kategorisinde deðerlendirme dýþýdýr; benzer þekilde kongre, sempozyum, konferans veya benzeri bilimsel etkinlik kitapçýklarý ve içeriðinde yayýmlanmýþ bildiriler de yayýn sayýlmaz; bu tür çalýþmalar sadece 'Teblið' kategorisi altýnda puanlanabilir; bir kitabýn yayýn sayýlabilmesi için özgün bilimsel kitap niteliði taþýmasý ve ISBN numarasýna sahip olmasý þarttýr; bildirilerden oluþan kitaplarýn kitap yazarlýðý/bölüm yazarlýðý olarak sunulmamasý gerekir.";[Yönetmelik] | [Baþvuru Rehberi];Madde 7(4) / Madde 20;yayýn|teblið|bildiri kitabý|kapsam dýþý;med
287;Tanýnmýþ uluslararasý yayýnevi sayýlabilmesi için yayýnevinin yayýn dili ile ilgili aranan özel þart nedir?;"Yönetmeliðin 3. maddesinin (l) bendi uyarýnca bir yayýnevinin tanýnmýþ uluslararasý yayýnevi sayýlabilmesi için en az beþ yýldýr uluslararasý düzeyde düzenli faaliyet yürütmesinin yaný sýra Türkçe dýþýndaki dillerde ayný alanda farklý yazarlara ait en az yirmi kitap yayýmlamýþ olmasý þarttýr; bu kriter Danýþtay kararlarý ve yönetmelik güncellemeleri ile kesinleþmiþtir; yayýnevinin bu þartý saðladýðýný gösteren belgeler veya kitap listeleri FUATS sistemine kanýt olarak yüklenmelidir; sadece Türkçe yayýn yapan yayýnevleri, yurt dýþý merkezli olsalar dahi uluslararasý kategoride deðerlendirilmez.";[Yönetmelik];Madde 3(l);uluslararasý yayýnevi|dil þartý|kitap|yayýn;hard
288;Dergilerin 'Diðer uluslararasý hakemli dergi' kategorisinde puanlanabilmesi için asgari kaç yýldýr yayýmlanýyor olmasý gerekir?;"Bir derginin bu kategoride deðerlendirilebilmesi için en az beþ yýldýr yýlda en az bir sayý ile düzenli olarak yayýmlanýyor olmasý þarttýr; ayrýca derginin editör veya yayýn kurulunun uluslararasý olmasý, bilimsel deðerlendirme sürecinin internet sayfasýnda ilan edilmiþ olmasý ve yayýmlanmýþ makale künyelerine dijital olarak ulaþýlabilmesi gerekir; yayýn hayatý beþ yýldan az olan dergilerde çýkan makaleler teþvik puanlamasýna dahil edilmez; baþvuru sahibi derginin son beþ yýllýk arþivine eriþilebilen internet adresini FUATS üzerinden beyan etmelidir.";[Yönetmelik] | [Baþvuru Rehberi];Madde 7(4) / Madde 21;dergi|yayýn süresi|uluslararasý|kriter;med
289;Müzik ve Konservatuvar bölümleri için ses/görüntü kayýtlarýnýn deðerlendirilmesinde hangi ek belge zorunludur?;"Müzik ve Konservatuvar bölümlerinde görev yapan öðretim elemanlarýnýn performansa dayalý ses veya görüntü kayýtlarýnýn puanlanabilmesi için CD, DVD veya benzeri ortamdaki kayýtlara yönelik bandrol verildiðini gösterir belgenin sunulmasý zorunludur; bandrol, çalýþmanýn yayýmlandýðýný ve telif haklarýnýn resmiyetini kanýtlar; ayrýca etkinliðin ulusal veya uluslararasý niteliðini gösteren dökümanlar ve dikkate alýnan yýlda (2025) yayýmlandýðýna dair kanýtlar sisteme yüklenmelidir; yayýmlanmamýþ veya bandrolü bulunmayan stüdyo kayýtlarý yayýn kategorisinde deðerlendirmeye alýnmaz.";[Baþvuru Rehberi];Madde 28;bandrol|ses kaydý|müzik|konservatuvar;med
290;Sergi faaliyetlerinin uluslararasý sayýlabilmesi için hangi üniversite biriminin onayý gereklidir?;"Bir sergi, bienal, festival veya gösterim etkinliðinin uluslararasý olarak deðerlendirilebilmesi için serginin uluslararasý olduðunun ilgili bölüm, anabilim dalý veya anasanat dalý kurullarýnca onaylanmýþ olmasý þarttýr; bu onay kararý resmi bir kurul tutanaðý veya yazýsý þeklinde FUATS sistemine yüklenmelidir; kurul onayý bulunmayan sergiler, yurt dýþýnda gerçekleþtirilmiþ olsa dahi uluslararasý kategoride puanlanmaz; ayrýca sergi faaliyetlerinde sanata katký saðlayýcý nitelik aranýr ve serginin tamamlandýðý tarih (2025 yýlý) esas alýnýr; eðitim-öðretim faaliyeti kapsamýndaki sergiler deðerlendirilmez.";[Yönetmelik] | [Baþvuru Rehberi];Madde 7(6) / Madde 31;sergi|uluslararasý|onay|kurul kararý;med
291;Patent faaliyetlerinde PCT veya Avrupa Patent Ofisi dýþýndaki uluslararasý patent baþvurularý nasýl puanlanýr?;"Yönetmeliðin 3. maddesinin (ö) bendi uyarýnca Patent Ýþbirliði Antlaþmasý (PCT) kapsamýnda yapýlan baþvurularda en az bir istemin yenilik, buluþ basamaðý ve sanayiye uygulanabilirlik kriterlerini saðladýðýnýn araþtýrma raporunda belirtilmesi þarttýr; Avrupa Patent Sözleþmesi kapsamýnda ise Avrupa Patent Ofisi (EPO) tarafýndan verilen tescilli patentler puanlanýr; tescil edilmemiþ veya bu kriterleri saðlamayan uluslararasý baþvurular puanlanamaz; uluslararasý patentler k x 100 katsayýsý ile deðerlendirilir; tescil belgesinin nüshasý veya yetkili mercilerce düzenlenen onay raporu FUATS sistemine yüklenmelidir.";[Yönetmelik] | [Baþvuru Rehberi];Madde 3(ö) / Madde 33;patent|PCT|yenilik|buluþ basamaðý;hard
292;Atýf puanlamasýnda hem atýf yapan hem de atýf yapýlan çalýþmanýn saðlamasý gereken temel yayýn þartý nedir?;"Atýf faaliyetlerinin deðerlendirilebilmesi için hem atýf yapýlan hem de atýf yapan yayýnýn 'Akademik Teþvik Ödeneði Yönetmeliði' kapsamýnda geçerli sayýlan yayýn kategorilerinde (indeksli makale, tanýnmýþ kitap vb.) yer almasý zorunludur; örneðin yönetmelik kapsamýnda taranmayan yerel dergilerde veya popüler yayýnlarda yapýlan atýflar puanlanmaz; ayrýca sadece devlet yükseköðretim kurumlarýnda üretilen yayýnlara yapýlan atýflar geçerli kabul edilir; atýf listeleri Web of Science veya benzeri veri tabanlarýndan alýnmalý ve dergi/yayýnevi bilgileriyle kanýtlanmalýdýr.";[Yönetmelik] | [Baþvuru Rehberi];Madde 36 / Madde 7(8);atýf|geçerli yayýn|indeks|devlet üniversitesi;hard
293;Teblið faaliyetlerinde 'tam metin' (full text) zorunluluðu ve özet metinlerin durumu hakkýnda kural nedir?;"Tebliðlerin akademik teþvik kapsamýnda deðerlendirilebilmesi için elektronik veya basýlý olarak etkinlik teblið kitapçýðýnda yer almasý ve mutlaka 'tam metin' olarak yayýmlanmýþ olmasý þarttýr; sadece özet metin (abstract) olarak yayýmlanan bildiriler kesinlikle kapsam dýþýdýr ve puan verilmez; araþtýrmacýlar tebliðin tam metnini ve kitapçýðýn basým/künye bilgilerini FUATS sistemine yüklemelidir; ayrýca tebliðin sunulduðunu gösteren katýlým belgesi de dosyaya eklenmelidir; tam metin zorunluluðu bilimsel çalýþmanýn bütünlüðünün ve akademik paylaþýmýn somut çýktýsýnýn denetlenmesi içindir.";[Yönetmelik] | [Baþvuru Rehberi];Madde 7(9) / Madde 41;teblið|tam metin|özet metin|kapsam dýþý;easy
